iter	Passed	Remaining
0	62	62516
1	65	32779
2	66	22143
3	68	17019
4	71	14302
5	73	12154
6	75	10670
7	78	9734
8	80	8849
9	83	8226
10	83	7526
11	85	7065
12	87	6638
13	89	6306
14	90	5956
15	91	5608
16	93	5378
17	94	5137
18	95	4925
19	97	4755
20	98	4580
21	101	4515
22	102	4353
23	104	4249
24	106	4146
25	107	4041
26	109	3928
27	110	3850
28	112	3764
29	113	3655
30	114	3575
31	117	3546
32	119	3515
33	121	3455
34	122	3390
35	124	3328
36	126	3283
37	129	3279
38	130	3218
39	131	3165
40	133	3124
41	134	3074
42	135	3025
43	137	2996
44	140	2985
45	142	2959
46	143	2919
47	146	2901
48	147	2862
49	148	2827
50	150	2800
51	151	2766
52	152	2725
53	153	2694
54	156	2689
55	157	2660
56	159	2636
57	161	2618
58	163	2611
59	165	2592
60	168	2587
61	170	2581
62	171	2557
63	173	2543
64	176	2534
65	177	2517
66	179	2506
67	181	2484
68	182	2469
69	184	2457
70	187	2452
71	188	2429
72	189	2401
73	191	2393
74	192	2371
75	194	2359
76	195	2337
77	196	2317
78	199	2320
79	200	2305
80	203	2306
81	205	2298
82	208	2303
83	211	2300
84	213	2295
85	214	2276
86	216	2268
87	218	2261
88	219	2243
89	221	2236
90	222	2221
91	224	2215
92	226	2212
93	229	2210
94	231	2202
95	234	2206
96	237	2207
97	239	2201
98	241	2200
99	243	2187
100	245	2183
101	246	2169
102	248	2163
103	250	2156
104	252	2155
105	254	2149
106	256	2139
107	258	2133
108	261	2139
109	263	2129
110	264	2119
111	267	2117
112	268	2103
113	270	2104
114	272	2099
115	274	2091
116	275	2080
117	277	2074
118	279	2069
119	281	2063
120	283	2059
121	286	2060
122	287	2051
123	290	2048
124	291	2039
125	294	2043
126	296	2039
127	297	2029
128	301	2034
129	302	2023
130	303	2015
131	305	2011
132	309	2015
133	310	2009
134	312	2003
135	314	1998
136	317	2000
137	319	1998
138	321	1990
139	323	1985
140	325	1981
141	326	1973
142	328	1966
143	329	1957
144	331	1953
145	334	1957
146	334	1943
147	336	1936
148	338	1932
149	340	1928
150	342	1923
151	344	1922
152	345	1914
153	347	1907
154	348	1899
155	351	1899
156	352	1892
157	353	1886
158	356	1883
159	358	1883
160	359	1875
161	361	1871
162	364	1872
163	367	1872
164	367	1861
165	370	1862
166	373	1860
167	375	1858
168	377	1855
169	380	1855
170	381	1848
171	382	1843
172	385	1840
173	386	1834
174	387	1826
175	390	1826
176	392	1823
177	395	1826
178	398	1827
179	399	1821
180	402	1819
181	404	1817
182	405	1811
183	407	1805
184	408	1799
185	410	1794
186	412	1793
187	413	1787
188	416	1786
189	417	1781
190	419	1776
191	421	1772
192	422	1767
193	424	1762
194	425	1757
195	427	1752
196	429	1750
197	430	1745
198	432	1742
199	434	1736
200	436	1733
201	437	1729
202	440	1729
203	442	1727
204	444	1725
205	446	1721
206	450	1724
207	452	1721
208	453	1716
209	456	1717
210	459	1716
211	461	1714
212	462	1709
213	464	1706
214	466	1703
215	468	1701
216	469	1695
217	471	1692
218	473	1687
219	475	1686
220	477	1681
221	479	1681
222	481	1679
223	484	1678
224	486	1675
225	487	1670
226	490	1670
227	492	1668
228	495	1668
229	496	1662
230	498	1660
231	500	1655
232	502	1653
233	504	1651
234	505	1646
235	508	1645
236	510	1644
237	512	1640
238	514	1639
239	518	1640
240	520	1637
241	523	1638
242	524	1635
243	527	1634
244	529	1632
245	531	1629
246	532	1624
247	535	1622
248	537	1620
249	540	1622
250	542	1619
251	545	1617
252	546	1613
253	547	1606
254	548	1603
255	551	1602
256	554	1602
257	556	1600
258	558	1598
259	559	1593
260	562	1591
261	564	1588
262	565	1584
263	568	1584
264	570	1581
265	572	1579
266	575	1580
267	578	1580
268	581	1580
269	585	1582
270	588	1582
271	591	1583
272	593	1581
273	595	1577
274	599	1579
275	602	1580
276	604	1578
277	607	1578
278	611	1581
279	613	1578
280	616	1577
281	619	1577
282	621	1575
283	624	1575
284	626	1572
285	630	1574
286	632	1570
287	634	1567
288	636	1565
289	638	1563
290	642	1565
291	645	1564
292	647	1562
293	651	1563
294	653	1561
295	655	1559
296	658	1557
297	660	1555
298	662	1553
299	666	1555
300	669	1554
301	672	1553
302	674	1551
303	677	1551
304	680	1550
305	683	1549
306	686	1550
307	689	1549
308	691	1547
309	695	1548
310	699	1548
311	701	1547
312	704	1545
313	707	1545
314	710	1544
315	714	1545
316	716	1543
317	719	1543
318	721	1539
319	724	1539
320	727	1538
321	730	1538
322	734	1540
323	737	1538
324	738	1534
325	741	1532
326	746	1535
327	748	1534
328	751	1532
329	753	1530
330	756	1528
331	759	1528
332	762	1527
333	766	1528
334	768	1526
335	771	1524
336	774	1523
337	777	1521
338	780	1521
339	782	1518
340	786	1520
341	790	1521
342	792	1518
343	795	1517
344	798	1515
345	801	1515
346	804	1514
347	807	1512
348	809	1510
349	813	1510
350	815	1507
351	819	1509
352	820	1503
353	822	1501
354	825	1499
355	827	1496
356	829	1493
357	831	1490
358	833	1487
359	834	1484
360	836	1480
361	839	1478
362	841	1476
363	842	1472
364	844	1468
365	845	1465
366	847	1462
367	850	1459
368	851	1456
369	853	1453
370	855	1449
371	856	1445
372	858	1443
373	860	1440
374	862	1438
375	864	1434
376	866	1432
377	867	1428
378	870	1425
379	872	1423
380	874	1421
381	877	1418
382	878	1415
383	880	1412
384	882	1409
385	883	1406
386	886	1404
387	888	1401
388	889	1397
389	891	1394
390	892	1390
391	894	1386
392	896	1384
393	897	1380
394	899	1378
395	901	1374
396	903	1373
397	905	1369
398	906	1366
399	908	1362
400	910	1360
401	913	1359
402	917	1358
403	918	1354
404	920	1351
405	922	1349
406	924	1347
407	926	1344
408	928	1341
409	930	1339
410	932	1336
411	934	1334
412	937	1331
413	939	1329
414	941	1326
415	942	1323
416	944	1320
417	946	1318
418	948	1315
419	950	1312
420	953	1311
421	955	1308
422	956	1305
423	959	1303
424	961	1300
425	964	1299
426	965	1296
427	968	1294
428	971	1293
429	973	1290
430	975	1288
431	977	1285
432	979	1282
433	981	1279
434	982	1276
435	984	1273
436	986	1271
437	988	1268
438	991	1266
439	991	1262
440	994	1260
441	997	1259
442	999	1256
443	1002	1255
444	1006	1255
445	1009	1253
446	1011	1251
447	1013	1249
448	1017	1248
449	1019	1246
450	1021	1243
451	1024	1241
452	1025	1238
453	1027	1235
454	1028	1232
455	1031	1230
456	1032	1227
457	1035	1224
458	1036	1222
459	1039	1220
460	1041	1217
461	1043	1215
462	1044	1211
463	1047	1209
464	1050	1208
465	1052	1205
466	1054	1203
467	1056	1200
468	1057	1197
469	1059	1194
470	1061	1192
471	1064	1190
472	1066	1188
473	1068	1185
474	1071	1183
475	1073	1181
476	1074	1178
477	1076	1175
478	1079	1173
479	1080	1170
480	1082	1168
481	1084	1165
482	1086	1162
483	1089	1161
484	1090	1158
485	1091	1154
486	1093	1152
487	1095	1149
488	1097	1146
489	1099	1144
490	1099	1140
491	1102	1138
492	1103	1134
493	1105	1132
494	1107	1129
495	1108	1126
496	1110	1124
497	1112	1121
498	1115	1119
499	1117	1117
500	1119	1114
501	1120	1111
502	1123	1109
503	1126	1108
504	1127	1105
505	1130	1103
506	1131	1100
507	1134	1098
508	1135	1095
509	1138	1093
510	1140	1091
511	1143	1089
512	1145	1087
513	1147	1084
514	1149	1082
515	1152	1081
516	1155	1079
517	1157	1076
518	1162	1077
519	1164	1074
520	1167	1073
521	1169	1071
522	1171	1068
523	1172	1065
524	1174	1062
525	1177	1060
526	1180	1059
527	1182	1056
528	1185	1055
529	1187	1052
530	1189	1050
531	1190	1047
532	1192	1044
533	1198	1046
534	1211	1052
535	1224	1060
536	1231	1061
537	1233	1059
538	1236	1057
539	1245	1060
540	1247	1058
541	1249	1055
542	1251	1053
543	1253	1051
544	1256	1048
545	1257	1045
546	1259	1043
547	1262	1041
548	1263	1038
549	1266	1035
550	1267	1033
551	1269	1030
552	1271	1027
553	1273	1024
554	1275	1022
555	1277	1020
556	1277	1016
557	1279	1013
558	1281	1010
559	1282	1007
560	1284	1005
561	1287	1003
562	1289	1000
563	1291	998
564	1293	995
565	1295	993
566	1297	991
567	1300	988
568	1303	987
569	1306	985
570	1308	983
571	1310	980
572	1312	977
573	1313	975
574	1317	974
575	1320	971
576	1322	969
577	1325	967
578	1328	965
579	1331	963
580	1333	961
581	1335	959
582	1337	956
583	1339	954
584	1341	951
585	1343	949
586	1346	947
587	1347	944
588	1349	941
589	1351	939
590	1353	936
591	1355	934
592	1356	931
593	1358	928
594	1361	926
595	1362	923
596	1364	920
597	1365	918
598	1368	915
599	1370	913
600	1371	910
601	1373	908
602	1375	905
603	1377	903
604	1380	901
605	1382	898
606	1384	896
607	1387	894
608	1389	891
609	1392	890
610	1394	887
611	1396	885
612	1398	883
613	1401	881
614	1403	878
615	1406	876
616	1408	874
617	1410	871
618	1412	869
619	1414	866
620	1416	864
621	1418	861
622	1420	859
623	1423	857
624	1425	855
625	1427	852
626	1429	850
627	1432	848
628	1434	846
629	1436	843
630	1438	840
631	1440	839
632	1443	836
633	1446	834
634	1448	832
635	1450	830
636	1452	827
637	1454	825
638	1456	822
639	1458	820
640	1460	818
641	1461	815
642	1464	812
643	1467	811
644	1469	808
645	1471	806
646	1473	803
647	1475	801
648	1476	798
649	1479	796
650	1482	794
651	1483	791
652	1486	789
653	1488	787
654	1491	785
655	1492	782
656	1495	780
657	1497	778
658	1499	775
659	1501	773
660	1504	771
661	1506	769
662	1509	767
663	1512	765
664	1515	763
665	1517	760
666	1520	759
667	1522	756
668	1523	753
669	1525	751
670	1527	748
671	1530	746
672	1532	744
673	1534	742
674	1536	739
675	1538	737
676	1541	735
677	1543	732
678	1544	730
679	1546	727
680	1547	725
681	1548	722
682	1549	719
683	1551	716
684	1554	714
685	1557	712
686	1559	710
687	1561	708
688	1564	706
689	1566	703
690	1568	701
691	1570	698
692	1573	696
693	1575	694
694	1576	691
695	1577	689
696	1579	686
697	1583	684
698	1585	682
699	1587	680
700	1588	677
701	1590	675
702	1592	672
703	1594	670
704	1596	667
705	1598	665
706	1600	663
707	1601	660
708	1603	658
709	1605	655
710	1607	653
711	1609	651
712	1611	648
713	1614	646
714	1616	644
715	1618	641
716	1621	639
717	1622	637
718	1624	634
719	1626	632
720	1627	629
721	1630	627
722	1633	625
723	1635	623
724	1637	621
725	1639	618
726	1640	616
727	1644	614
728	1646	611
729	1647	609
730	1649	606
731	1652	604
732	1654	602
733	1656	600
734	1659	598
735	1661	596
736	1664	593
737	1668	592
738	1671	590
739	1674	588
740	1675	585
741	1679	583
742	1680	581
743	1683	579
744	1686	577
745	1688	574
746	1690	572
747	1693	570
748	1696	568
749	1698	566
750	1701	564
751	1703	561
752	1704	559
753	1707	557
754	1709	554
755	1711	552
756	1713	550
757	1715	547
758	1718	545
759	1721	543
760	1724	541
761	1726	539
762	1728	537
763	1730	534
764	1733	532
765	1736	530
766	1738	528
767	1740	525
768	1742	523
769	1744	521
770	1745	518
771	1748	516
772	1750	513
773	1751	511
774	1753	508
775	1755	506
776	1757	504
777	1757	501
778	1759	499
779	1761	496
780	1764	494
781	1767	492
782	1769	490
783	1771	488
784	1773	485
785	1776	483
786	1778	481
787	1779	478
788	1781	476
789	1782	473
790	1784	471
791	1786	469
792	1788	466
793	1790	464
794	1793	462
795	1796	460
796	1798	458
797	1799	455
798	1802	453
799	1803	450
800	1807	448
801	1809	446
802	1811	444
803	1814	442
804	1816	439
805	1819	437
806	1821	435
807	1824	433
808	1826	431
809	1829	429
810	1831	426
811	1833	424
812	1835	422
813	1837	419
814	1839	417
815	1841	415
816	1844	413
817	1846	410
818	1847	408
819	1849	405
820	1851	403
